prediction,trueLabel
43533.484115451100,37900
43501.391482771500,30995
43486.92665692090,69981
43474.793205719900,61184
43447.08796911080,38995
43434.472063902300,47118
43434.472063902300,43272
43434.472063902300,40343
43434.472063902300,39838
43422.02848616440,53900
43403.199732761800,52660
43403.199732761800,51865
43401.97174237280,52415
43401.603345256100,31830
43401.48054621720,31385
43401.2349481394,53880
43395.831790427800,38380
43389.31804378300,38060
43374.37164092210,36681
43349.518320214600,34995
43307.46499317870,51880
43304.66304126720,28980
43296.84766097160,42218
43296.47926385490,33477
43238.791093433000,54145
43238.791093433000,50387
43238.66829439410,52229
43238.66829439410,50078
43238.54549535520,58741
43238.54549535520,52317
43238.54549535520,50078
43238.42269631630,52675
43237.194705927300,50387
43197.51154637280,15975
43194.63279665840,60215
43194.63279665840,54545
43192.176815880400,52845
43189.22963894680,51010
43175.84764211110,35988
43163.66201372540,43695
43163.66201372540,43695
43163.66201372540,43695
43163.66201372540,40700
43163.41641564760,51185
43163.41641564760,39185
43160.59203775290,50980
43158.45865963610,26997
43158.44207124410,39888
43132.85247979600,40196
43132.72968075710,38007
43132.60688171820,39838
43132.361283640400,40263
43132.361283640400,40112
43132.361283640400,39987
43132.23848460150,43332
43132.23848460150,40112
43132.23848460150,39918
43132.23848460150,37912
43132.23848460150,37638
43119.430057778600,44995
43095.29842834840,47772
43095.29842834840,44262
43093.21084468710,42519
42963.89829022120,42716
42963.89829022120,41810
42963.89829022120,41045
42963.89829022120,41045
42963.89829022120,41045
42963.89829022120,41045
42963.89829022120,40835
42963.89829022120,40365
42963.89829022120,40365
42963.89829022120,40365
42963.89829022120,40365
42963.89829022120,40365
42873.0132018166,52055
42873.0132018166,52055
42873.0132018166,49712
42873.0132018166,49660
42873.0132018166,47330
42872.890402777700,53505
42872.522005661,51240
42872.0308095054,55305
42871.294015272000,50205
42868.88496468890,45781
42866.13645563820,52075
42862.05226119580,43547
42862.05226119580,38807
42862.05226119580,37347
42857.90892003190,42995
42840.65576321340,27995
42835.18045521860,39620
42826.71786982330,52925
42826.71786982330,52525
42826.71786982330,47925
42813.46814774500,28942
42805.33839843880,39999
42789.496433726700,39800
42789.496433726700,37619
42789.496433726700,37598
42789.496433726700,35425
42787.35437164830,36017
42787.23157260940,43140
42787.040452948700,40788
42785.26678798700,41818
42768.26839278550,36995
42762.89196769340,19995
42747.83322269750,41045
42746.23683519180,37050
42737.48346260430,44806
42737.48346260430,42457
42737.48346260430,42319
42737.48346260430,41057
42737.48346260430,41046
42737.48346260430,40937
42737.48346260430,40382
42732.29604420270,43830
42732.29604420270,36495
42732.17324516380,44035
42731.19085285260,36420
42730.82245573590,36815
42697.93428098130,45302
42697.93428098130,45146
42697.93428098130,42523
42697.93428098130,41259
42697.93428098130,41204
42697.93428098130,40760
42697.93428098130,40685
42697.93428098130,40438
42697.93428098130,40437
42697.93428098130,40382
42697.93428098130,40278
42697.565883864600,44670
42697.565883864600,42413
42653.6769784264,39757
42653.6769784264,38951
42653.6769784264,38461
42653.6769784264,38461
42653.6769784264,38223
42653.6769784264,36951
42653.6769784264,36415
42651.26286368860,27991
42647.29269805480,34059
42636.69240692790,29995
42628.790991159500,42995
42626.72525997890,35581
42625.90075618790,36995
42624.84835456860,35988
42619.49236929170,47280
42619.49236929170,47275
42619.49236929170,46445
42619.49236929170,42130
42619.36957025280,46440
42596.23038146790,41688
42576.944017098900,27727
42576.74489865910,43185
42574.46217344050,48695
42528.05016621200,50485
42528.05016621200,43695
42528.05016621200,43695
42527.21679071860,44988
42526.822175823,44340
42526.822175823,43230
42526.822175823,41775
42526.822175823,41775
42526.6993767841,44340
42526.5765777452,53275
